ID_Venta;Fecha;ID_Producto;Cantidad;Cliente;Sucursal
V001;2026-01-15;P001;3;Juan Pérez;Centro
V002;2026-01-15;P003;1;María López;Norte
V003;2026-01-16;P002;2;Carlos García;Sur
V004;2026-01-17;P005;4;Ana Martínez;Centro
V005;2026-01-18;P004;2;Roberto Sánchez;Este
V006;2026-01-19;P001;5;Laura Torres;Norte
V007;2026-01-20;P007;1;Miguel Rodríguez;Sur
V008;2026-01-21;P006;3;Patricia Flores;Centro
V009;2026-01-22;P008;6;Fernando Díaz;Este
V010;2026-01-23;P002;2;Sofía Hernández;Norte
V011;2026-01-24;P009;3;Diego Morales;Sur
V012;2026-01-25;P010;2;Camila Ruiz;Centro
V013;2026-01-26;P003;1;Andrés Castro;Este
V014;2026-01-27;P001;4;Valeria Jiménez;Norte
V015;2026-01-28;P004;2;Ricardo Vargas;Sur
